연도,캠페인유형,캠페인,광고그룹,"총비용(VAT포함,원)",노출수,클릭수,전환수,전환매출액(원),ROAS,CTR,CVR
2025,파워링크,09.센서_메인_MO@naver_powerlink,09-1.온습도계_MO@cpc_th14_h,794541,27832,917,200,2251870,2.834177217,0.03294768612,0.2181025082
2025,파워링크,09.센서_메인_PC@naver_powerlink,09-1.온습도계_PC@cpc_th14_h,246334,24515,402,32,149500,0.6068995754,0.0163981236,0.07960199005
2025,파워링크,09.센서_확장_MO@naver_powerlink,09-2.온습도계+확장1_MO@cpc_th14_h,96723,57236,293,12,179400,1.854781179,0.005119155776,0.0409556314
2025,파워링크,09.센서_확장_MO@naver_powerlink,09-2.온습도계+확장2_MO@cpc_th14_h,17600,6923,70,17,122570,6.964204545,0.01011122346,0.2428571429
2025,파워링크,09.센서_확장_PC@naver_powerlink,09-2.온습도계+확장1_PC@cpc_th14_h,15719,17400,46,2,29900,1.902156626,0.002643678161,0.04347826087
2025,파워링크,09.센서_확장_PC@naver_powerlink,09-2.온습도계+확장2_PC@cpc_th14_h,7634,1452,22,1,0,0,0.01515151515,0.04545454545
2025,파워링크,10.스스멀티어댑터_MO@naver_powerlink,10-1.멀티어댑터_MO@cpc_ma481_h-s,851444,152768,1200,53,1234400,1.449772387,0.007855048178,0.04416666667
2025,파워링크,10.스스멀티어댑터_PC@naver_powerlink,10-1.멀티어댑터_PC@cpc_ma481_h-s,124025,35477,193,5,119400,0.9627091312,0.005440144319,0.02590673575
2025,파워링크,IoT인테리어@naver_powerlink,IoT인테리어_광고그룹@cpc_iot_h,2971661,32079,242,0,0,0,0.007543876056,0
2025,파워링크,기업특판@naver_powerlink,특판@naver_powerlink_cpc_p105_h,5258,439,2,0,0,0,0.004555808656,0
2025,파워링크,음처기_MO@naver_powerlink,메인키워드_MO@cpc_fd471_h,42617960,1159182,12899,184,16857780,0.3955557704,0.01112767452,0.01426467168
2025,파워링크,음처기_MO@naver_powerlink,자상호_MO@cpc_fd471_h,233519,37006,914,92,8836500,37.84060398,0.02469869751,0.1006564551
2025,파워링크,음처기_PC@naver_powerlink,메인키워드_PC@cpc_fd471_h,6095947,359726,1756,32,4183400,0.6862592473,0.004881493136,0.01822323462
2025,파워링크,음처기_PC@naver_powerlink,자상호_PC@cpc_fd471_h,52184,9369,194,23,3383410,64.83615668,0.02070658555,0.118556701
