월,캠페인,"총비용(VAT포함,원)",노출수,클릭수,전환수,전환매출액(원),ROAS,CTR,CVR
2025-01,08.전원_메인_PC@naver_powerlink,29216,27204,74,0,0,0.0,0.002720188207616527,0.0
2025-01,08.전원_확장_MO@naver_powerlink,6336,1186,24,0,0,0.0,0.02023608768971332,0.0
2025-01,08.전원_확장_PC@naver_powerlink,2024,578,6,0,0,0.0,0.010380622837370242,0.0
2025-01,09.로청_MO@naver_shoppingbrand,237094,36146,696,2,0,0.0,0.019255242627123335,0.0028735632183908046
2025-01,09.로청_PC@naver_shoppingbrand,4092,1016,12,0,0,0.0,0.011811023622047244,0.0
2025-01,09.센서_메인_MO@naver_powerlink,44836,4954,124,28,340780,7.600588812561335,0.025030278562777553,0.22580645161290322
2025-01,09.센서_메인_PC@naver_powerlink,3212,3134,12,0,0,0.0,0.0038289725590299937,0.0
2025-01,09.센서_확장_MO@naver_powerlink,32252,33996,104,0,0,0.0,0.0030591834333450994,0.0
2025-01,09.센서_확장_PC@naver_powerlink,4950,4454,16,2,59800,12.080808080808081,0.003592276605298608,0.125
2025-02,00.브랜드_MO@naver_powerlink,1450724,109056,1854,568,8315620,5.732048273827413,0.01700044014084507,0.3063646170442287
2025-02,00.브랜드_PC@naver_powerlink,707916,38026,1282,574,9025120,12.7488572090474,0.03371377478567296,0.44773790951638065
2025-02,00.브랜드형@naver_shoppingbrand,7326,2060,22,4,0,0.0,0.010679611650485437,0.18181818181818182
2025-02,00.자상호_MO@naver_shoppingsearch,20733944,711546,15810,6322,113665880,5.482115703601784,0.022219224055788384,0.3998734977862113
2025-02,00.자상호_PC@naver_shoppingsearch,2854786,60836,2390,860,21571140,7.556132053330793,0.03928594910908015,0.3598326359832636
2025-02,01.브랜드형_쇼검@naver_shoppingbrand,708818,583140,920,152,2704380,3.8153376466173263,0.001577665740645471,0.16521739130434782
2025-02,01.신규 자사명@naver_brandsearch,0,148852,57948,35338,549739920,0.0,0.38929943836831216,0.6098225995720301
2025-02,01.펫_MO@naver_shoppingbrand,231792,271560,470,40,1321600,5.701663560433492,0.0017307409044041832,0.0851063829787234
2025-02,01.펫_PC@naver_shoppingbrand,2684,79316,8,0,0,0.0,0.00010086237329164355,0.0
2025-02,01.홈카메라_메인_MO@naver_powerlink,2361128,91560,1660,420,6321620,2.677372848909504,0.0181301878549585,0.25301204819277107
2025-02,01.홈카메라_메인_PC@naver_powerlink,117502,36888,126,8,279600,2.379533965379313,0.0034157449577098243,0.06349206349206349
2025-02,01.홈카메라_쿠팡_MO@naver_powerlink,7569804,887174,6732,1264,25785080,3.4063074816732377,0.007588139417972123,0.18775995246583482
2025-02,01.홈카메라_쿠팡_PC@naver_powerlink,1338898,556508,1298,380,4492800,3.355595422504179,0.002332401331157863,0.29275808936825887
2025-02,01.홈카메라_확장_MO@naver_powerlink,441452,30782,658,72,2604600,5.900075206364452,0.0213761289065038,0.1094224924012158
2025-02,01.홈카메라_확장_PC@naver_powerlink,122474,12342,168,30,894600,7.304407466074432,0.013612056392805057,0.17857142857142858
2025-02,01.홈캠_MO@naver_shoppingsearch,26314860,811816,14608,3004,66307720,2.51978235871291,0.017994225292430797,0.2056407447973713
